busco_id,chr1,chr2,start1,end1,start2,end2,strand1,strand2,is_flipped
127852at7147,OU343114.1,OY284468.1,82668019,82686613,60058468,60089590,+,-,True
12796at7147,OU343114.1,OY284468.1,36345437,36352421,52283979,52289132,-,+,True
128900at7147,OU343116.1,OY284470.1,6676629,6679160,25026980,25028658,+,+,False
13052at7147,OU343115.1,OY284469.1,48740322,48743412,32520624,32533975,+,+,False
13056at7147,OU343118.1,OY284472.1,37062269,37065938,40271377,40272906,-,+,True
13207at7147,OU343115.1,OY284469.1,59313163,59313526,31905837,31906224,-,+,True
1323at7147,OU343116.1,OY284470.1,53989303,53994223,20348713,20353411,-,-,False
133148at7147,OU343118.1,OY284472.1,7958144,7961200,10439252,10442256,+,+,False
133728at7147,OU343114.1,OY284468.1,56663098,56669189,176180,179259,+,-,True
133899at7147,OU343118.1,OY284472.1,17000264,17001122,34242797,34243728,-,+,True
13389at7147,OU343117.1,OY284471.1,26331569,26334882,46214955,46217308,-,+,True
133939at7147,OU343118.1,OY284472.1,22354904,22476676,7529534,7531986,-,+,True
134526at7147,OU343114.1,OY284468.1,70355977,70368911,57426411,57441179,+,+,False
13497at7147,OU343116.1,OY284468.1,27270948,27272297,298144,299571,-,-,False
135807at7147,OU343116.1,OY284470.1,28680262,28703760,28286297,28306939,+,-,True
135865at7147,OU343114.1,OY284468.1,35770460,35790065,40743450,40759207,+,+,False
13588at7147,OU343117.1,OY284471.1,25930375,25932916,46261950,46264354,-,+,True
136142at7147,OU343117.1,OY284471.1,27016937,27018029,43794601,43795889,-,-,False
137178at7147,OU343116.1,OY284470.1,52497223,52591776,19357846,19441027,-,+,True
13731at7147,OU343116.1,OY284470.1,3732041,3732913,18593334,18594251,-,-,False
13808at7147,OU343114.1,OY284468.1,82052068,82053585,46541437,46543093,+,-,True
138312at7147,OU343116.1,OY284470.1,48787837,48794190,9012845,9017913,+,-,True
13883at7147,OU343118.1,OY284472.1,18308486,18312188,20139050,20141255,-,-,False
13919at7147,OU343115.1,OY284469.1,58584596,58588542,7270059,7272874,+,+,False
139373at7147,OU343115.1,OY284469.1,32979983,32981055,27165770,27166259,+,-,True
14042at7147,OU343114.1,OY284468.1,35011086,35015723,40276797,40280075,+,-,True
140441at7147,OU343114.1,OY284468.1,9702381,9702904,60203379,60203919,+,-,True
14054at7147,OU343118.1,OY284472.1,17938266,17941272,19770342,19777656,+,+,False
14119at7147,OU343117.1,OY284471.1,1453818,1459279,4873045,4876919,-,-,False
141501at7147,OU343115.1,OY284469.1,67903238,67913267,402552,410989,+,+,False
141840at7147,OU343117.1,OY284471.1,47075124,47075855,16769420,16770130,-,-,False
14247at7147,OU343117.1,OY284471.1,78239,81833,6307839,6309269,+,-,True
142617at7147,OU343117.1,OY284471.1,47715042,47716715,18027345,18029134,+,-,True
142673at7147,OU343114.1,OY284468.1,82040481,82047324,21911277,21914284,-,+,True
143663at7147,OU343115.1,OY284469.1,4026392,4041439,20627946,20641092,-,+,True
14368at7147,OU343117.1,OY284471.1,27854345,27855805,46562524,46563993,-,+,True
143890at7147,OU343115.1,OY284469.1,45516445,45563003,13335067,13363830,-,+,True
143893at7147,OU343118.1,OY284472.1,45092482,45099472,25706831,25722027,+,+,False
14525at7147,OU343117.1,OY284471.1,17701500,17703557,23614478,23616622,-,+,True
145278at7147,OU343114.1,OY284468.1,4090968,4095819,68338297,68341212,-,-,False
145710at7147,OU343115.1,OY284469.1,22234613,22238287,11018042,11020464,+,-,True
14621at7147,OU343117.1,OY284471.1,11800309,11803406,25349857,25352866,-,+,True
14633at7147,OU343117.1,OY284471.1,26404122,26405000,46339433,46340683,+,+,False
146574at7147,OU343118.1,OY284472.1,40576564,40581499,35933714,35936160,+,+,False
14661at7147,OU343116.1,OY284470.1,53890753,53893273,19333176,19336073,-,-,False
14706at7147,OU343115.1,OY284469.1,51916390,51920606,17193027,17196387,-,-,False
14792at7147,OU343116.1,OY284470.1,18195626,18197696,18493419,18495767,+,+,False
147958at7147,OU343116.1,OY284470.1,29101762,29110278,24280761,24286959,+,-,True
148008at7147,OU343114.1,OY284468.1,50699394,50700030,47615128,47615862,+,-,True
148238at7147,OU343115.1,OY284469.1,70325700,70340137,1084212,1092393,-,-,False
148702at7147,OU343116.1,OY284470.1,15279595,15290270,41220348,41224769,+,+,False
148771at7147,OU343116.1,OY284470.1,15341638,15346354,43420257,43432088,+,+,False
148910at7147,OU343114.1,OY284468.1,28850330,28868701,21760683,21782731,+,-,True
149542at7147,OU343116.1,OY284470.1,18752933,18758481,18576784,18580947,-,+,True
149629at7147,OU343116.1,OY284470.1,8015801,8016528,4349980,4350741,+,-,True
149853at7147,OU343117.1,OY284471.1,31686383,31808363,40329963,40436839,+,+,False
149858at7147,OU343114.1,OY284468.1,93067833,93069643,4232773,4234229,-,-,False
150523at7147,OU343114.1,OY284468.1,40875089,40876087,49893845,49894912,+,-,True
15074at7147,OU343116.1,OY284470.1,37996816,38004478,31217643,31224543,-,+,True
150963at7147,OU343118.1,OY284472.1,13456881,13457978,9672948,9674155,-,-,False
151105at7147,OU343115.1,OY284469.1,5037587,5045856,30703158,30709969,+,-,True
151630at7147,OU343114.1,OY284468.1,33698482,33703566,36392399,36396798,-,+,True
152075at7147,OU343115.1,OY284469.1,41506648,41507015,22681044,22681426,-,+,True
152146at7147,OU343118.1,OY284472.1,7631000,7631930,23397715,23398611,+,+,False
152441at7147,OU343116.1,OY284470.1,3929725,3933141,40878078,40881678,+,-,True
152457at7147,OU343115.1,OY284469.1,7008136,7015616,58052709,58054466,-,-,False
153357at7147,OU343118.1,OY284472.1,42478095,42482861,5490226,5494836,-,-,False
15356at7147,OU343116.1,OY284470.1,22242905,22243731,11084689,11085829,-,-,False
15390at7147,OU343118.1,OY284472.1,22586891,22595068,8800524,8825549,-,-,False
154407at7147,OU343116.1,OY284470.1,36249827,36293765,29479520,29540947,+,-,True
154496at7147,OU343116.1,OY284470.1,40047361,40049367,23881946,23882929,+,-,True
15451at7147,OU343115.1,OY284469.1,14907646,14924565,2746319,2762390,+,-,True
15468at7147,OU343118.1,OY284472.1,27681491,27683538,23445393,23449111,+,+,False
15597at7147,OU343118.1,OY284469.1,44982407,44983678,50440174,50441323,+,+,False
157102at7147,OU343115.1,OY284469.1,1016660,1036428,7796864,7824351,-,+,True
15771at7147,OU343114.1,OY284468.1,29327681,29393982,21169329,21245553,-,+,True
157964at7147,OU343115.1,OY284469.1,50204457,50205182,16033950,16034891,+,+,False
15956at7147,OU343118.1,OY284472.1,5645472,5648007,24163386,24165259,+,-,True
15977at7147,OU343116.1,OY284470.1,29157980,29162964,27974068,27980682,-,+,True
16128at7147,OU343114.1,OY284468.1,62279326,62283238,52910594,52912812,-,+,True
161360at7147,OU343116.1,OY284470.1,27202533,27204925,2453601,2455148,-,-,False
161437at7147,OU343118.1,OY284472.1,27692957,27694113,23455413,23456379,-,-,False
161620at7147,OU343118.1,OY284472.1,26635016,26637134,34388928,34390878,-,+,True
161816at7147,OU343117.1,OY284471.1,21569716,21573792,30055093,30059766,+,+,False
161838at7147,OU343115.1,OY284469.1,17549043,17551523,58832114,58834653,+,+,False
161871at7147,OU343114.1,OY284468.1,85617043,85619868,44906989,44909565,+,-,True
161986at7147,OU343117.1,OY284471.1,3273331,3278715,5353053,5358378,+,-,True
161996at7147,OU343114.1,OY284468.1,88212495,88215315,37679286,37681585,+,-,True
162010at7147,OU343118.1,OY284472.1,16219202,16220529,9290732,9292045,+,+,False
162072at7147,OU343116.1,OY284470.1,38209924,38210879,10638707,10639716,+,-,True
162125at7147,OU343116.1,OY284470.1,34851918,34853202,17133427,17135447,-,-,False
162154at7147,OU343116.1,OY284470.1,51490227,51492287,25981401,25984041,-,-,False
162166at7147,OU343115.1,OY284469.1,58927426,58930287,6692989,6703174,-,+,True
162217at7147,OU343115.1,OY284469.1,6845303,6855008,57623674,57633854,+,+,False
162238at7147,OU343114.1,OY284468.1,10594832,10596912,16202407,16204856,+,+,False
162279at7147,OU343117.1,OY284471.1,45618912,45620461,34532041,34533433,-,+,True
162310at7147,OU343118.1,OY284472.1,23022536,23023894,8351414,8353048,+,-,True
162402at7147,OU343115.1,OY284469.1,67926771,67928623,422526,423656,+,+,False
162448at7147,OU343114.1,OY284468.1,75144838,75145887,68906820,68907986,-,-,False
162519at7147,OU343115.1,OY284469.1,61752232,61784599,50968619,51087784,+,+,False
162523at7147,OU343117.1,OY284471.1,19379807,19382385,22609193,22611880,+,+,False
162532at7147,OU343115.1,OY284469.1,52331587,52343448,2623970,2634440,+,-,True
162607at7147,OU343115.1,OY284469.1,59515165,59517024,31644706,31646658,-,+,True
16264at7147,OU343117.1,OY284471.1,23451436,23453965,39835067,39838891,+,+,False
162661at7147,OU343114.1,OY284468.1,94803977,94804627,45946733,45947416,+,-,True
162738at7147,OU343114.1,OY284468.1,75003256,75004030,27691246,27691991,-,+,True
162812at7147,OU343114.1,OY284468.1,20761524,20763258,17858191,17859198,-,+,True
16285at7147,OU343116.1,OY284470.1,6443399,6444886,24756928,24759519,-,-,False
162861at7147,OU343116.1,OY284470.1,1686645,1687729,46569922,46571118,-,+,True
162863at7147,OU343114.1,OY284468.1,94662368,94665107,45776426,45779171,-,+,True
162892at7147,OU343114.1,OY284468.1,92721797,92723996,3943499,3945308,+,+,False
162907at7147,OU343118.1,OY284472.1,43695490,43696716,23141534,23142820,-,+,True
162912at7147,OU343115.1,OY284469.1,2838505,2839725,247060,248238,+,-,True
162967at7147,OU343116.1,OY284470.1,46122867,46125317,3428744,3430863,-,+,True
162997at7147,OU343114.1,OY284468.1,50448440,50471339,47747798,47762468,-,+,True
163083at7147,OU343117.1,OY284471.1,41085013,41086715,8016276,8017784,+,+,False
163134at7147,OU343115.1,OY284469.1,15326142,15330551,21817204,21821505,-,+,True
163141at7147,OU343114.1,OY284468.1,35195950,35203414,40396367,40400146,-,-,False
163173at7147,OU343116.1,OY284470.1,50553281,50558127,16813219,16817736,+,+,False
163189at7147,OU343115.1,OY284469.1,57425432,57427301,3838212,3840262,-,-,False
163225at7147,OU343118.1,OY284470.1,26539076,26541419,21704724,21706892,+,-,True
163232at7147,OU343116.1,OY284470.1,48710618,48712660,9083341,9086769,-,+,True
163233at7147,OU343119.1,OY284473.1,15549588,15596019,29068893,29092844,-,-,False
163245at7147,OU343116.1,OY284470.1,26363221,26363802,1897532,1898183,+,+,False
163251at7147,OU343115.1,OY284469.1,6703819,6707326,8544540,8548403,-,+,True
163258at7147,OU343117.1,OY284471.1,44280504,44282886,33786429,33790658,-,-,False
163264at7147,OU343114.1,OY284468.1,30219327,30223238,38987131,38990484,-,+,True
163275at7147,OU343115.1,OY284469.1,21243540,21246428,28720418,28722362,+,+,False
163316at7147,OU343117.1,OY284471.1,18418968,18420610,23285008,23286270,+,-,True
163386at7147,OU343115.1,OY284469.1,5987157,5988167,9422637,9423820,-,-,False
163391at7147,OU343117.1,OY284471.1,20097591,20110244,38801549,38807982,+,+,False
163408at7147,OU343115.1,OY284469.1,3285635,3291829,22244729,22249626,+,+,False
163419at7147,OU343114.1,OY284468.1,80188991,80190895,23063200,23065188,+,-,True
163466at7147,OU343115.1,OY284469.1,25169614,25171973,36377314,36378407,+,+,False
163483at7147,OU343117.1,OY284471.1,44552777,44554219,42188614,42190594,+,+,False
163506at7147,OU343116.1,OY284470.1,44366511,44368876,15133152,15134971,-,-,False
163566at7147,OU343115.1,OY284469.1,17523471,17528350,56073722,56078620,-,-,False
163635at7147,OU343115.1,OY284469.1,19604577,19626639,28212389,28221983,-,-,False
163641at7147,OU343116.1,OY284470.1,23031157,23036838,27799352,27804805,+,-,True
163715at7147,OU343114.1,OY284468.1,42723610,42725060,49044880,49046418,+,-,True
163725at7147,OU343118.1,OY284472.1,35074203,35074893,22228224,22228987,-,-,False
163733at7147,OU343116.1,OY284470.1,718709,720762,4803743,4805792,-,+,True
163805at7147,OU343114.1,OY284468.1,8236254,8237241,69336562,69337466,-,+,True
163816at7147,OU343114.1,OY284468.1,48942277,48944989,34810177,34811892,+,+,False
163838at7147,OU343114.1,OY284468.1,19613862,19616502,32053448,32055448,-,-,False
163873at7147,OU343116.1,OY284470.1,5820049,5820732,6088387,6089070,+,+,False
163938at7147,OU343116.1,OY284470.1,7065319,7071627,322995,328469,-,+,True
163957at7147,OU343118.1,OY284472.1,17927672,17928231,19756462,19758546,+,+,False
164012at7147,OU343116.1,OY284470.1,24873350,24879408,5557511,5561330,+,-,True
164044at7147,OU343118.1,OY284472.1,24635062,24640901,36567725,36572048,-,+,True
164134at7147,OU343115.1,OY284469.1,58345076,58345474,4985153,4985560,+,-,True
164175at7147,OU343114.1,OY284468.1,29244802,29246640,21354876,21356787,+,-,True
164185at7147,OU343114.1,OY284468.1,53373384,53390932,53943898,53947163,+,-,True
164211at7147,OU343115.1,OY284469.1,53683509,53686076,24736912,24738848,+,-,True
164312at7147,OU343118.1,OY284472.1,18269619,18271313,20212102,20213853,+,-,True
164323at7147,OU343115.1,OY284469.1,26005561,26010551,59466717,59467437,+,+,False
164356at7147,OU343115.1,OY284469.1,59435893,59436721,31770771,31771653,+,-,True
164400at7147,OU343114.1,OY284468.1,2061910,2070927,66858236,66868985,+,+,False
164649at7147,OU343115.1,OY284469.1,11080526,11132334,11031430,11077234,-,+,True
164695at7147,OU343115.1,OY284469.1,34559599,34564357,24412677,24416910,+,-,True
164702at7147,OU343116.1,OY284470.1,47412218,47418053,10488812,10494879,-,+,True
16470at7147,OU343114.1,OY284468.1,90667886,90669268,597320,599039,-,-,False
164767at7147,OU343118.1,OY284472.1,15905283,15908024,20716790,20719033,+,-,True
164810at7147,OU343119.1,OY284473.1,20512688,20516043,30315610,30319112,+,+,False
164861at7147,OU343114.1,OY284468.1,38048797,38049223,51421690,51422175,+,-,True
164916at7147,OU343117.1,OY284471.1,49217540,49219148,46852045,46853847,-,-,False
164929at7147,OU343115.1,OY284469.1,1205467,1205835,27817783,27818151,-,-,False
164941at7147,OU343115.1,OY284469.1,53256031,53268780,25000564,25011359,-,+,True
164964at7147,OU343114.1,OY284468.1,11202545,11207200,42913251,42915199,-,-,False
164972at7147,OU343117.1,OY284471.1,31970033,31971568,38314770,38316296,-,+,True
164984at7147,OU343114.1,OY284468.1,38031617,38034092,51433751,51436896,-,+,True
165004at7147,OU343115.1,OY284469.1,8427246,8428832,58100976,58102888,-,-,False
165055at7147,OU343117.1,OY284471.1,41911908,41915560,46829452,46832475,-,-,False
165107at7147,OU343118.1,OY284472.1,5925999,5929610,35985398,35988722,-,+,True
165117at7147,OU343117.1,OY284471.1,45531983,45533504,34720275,34721680,+,-,True
165142at7147,OU343116.1,OY284470.1,4018155,4028200,40503420,40509209,-,-,False
165152at7147,OU343118.1,OY284472.1,21939669,21941775,28395747,28397880,-,-,False
165155at7147,OU343114.1,OY284468.1,97169116,97173419,7202264,7207914,+,-,True
165168at7147,OU343115.1,OY284469.1,10011459,10024025,25560465,25562686,-,+,True
165173at7147,OU343116.1,OY284470.1,8234388,8235588,17977265,17978584,-,-,False
165182at7147,OU343118.1,OY284472.1,16969713,16974265,3456663,3460859,+,+,False
165189at7147,OU343119.1,OY284470.1,14534960,14712107,9107901,9109149,+,+,False
165211at7147,OU343118.1,OY284472.1,16965058,16965851,3445497,3446404,+,+,False
165235at7147,OU343114.1,OY284468.1,74249300,74251027,60862298,60864119,+,-,True
165238at7147,OU343116.1,OY284470.1,47501777,47503656,10404600,10406159,-,+,True
165269at7147,OU343117.1,OY284471.1,4903123,4906573,6083449,6086943,-,+,True
165282at7147,OU343116.1,OY284470.1,45237886,45239295,4119999,4121913,+,-,True
165293at7147,OU343118.1,OY284472.1,25197782,25202560,14447280,14453570,-,-,False
165341at7147,OU343116.1,OY284470.1,34225059,34256149,7128642,7170384,+,+,False
165376at7147,OU343115.1,OY284469.1,58641903,58643456,7184544,7186286,-,+,True
165426at7147,OU343115.1,OY284469.1,9487477,9489749,56187908,56191784,+,+,False
165507at7147,OU343114.1,OY284468.1,89989214,89990077,5405112,5406018,+,-,True
165515at7147,OU343114.1,OY284468.1,81412059,81412879,22332729,22333627,-,+,True
165522at7147,OU343114.1,OY284468.1,68169190,68170539,68551302,68552885,+,+,False
165541at7147,OU343114.1,OY284468.1,55871016,55888363,5627202,5641405,-,-,False
165544at7147,OU343114.1,OY284468.1,32649350,32650534,8478422,8479570,+,+,False
165549at7147,OU343114.1,OY284468.1,87500434,87517580,7692117,7741966,-,+,True
165554at7147,OU343118.1,OY284469.1,25471364,25472344,24130362,24131396,+,-,True
165627at7147,OU343114.1,OY284468.1,83057091,83060366,59674586,59676740,-,+,True
165654at7147,OU343118.1,OY284472.1,3410823,3412442,30300568,30302178,-,-,False
165666at7147,OU343118.1,OY284472.1,28761564,28763232,6117692,6119527,-,+,True
165697at7147,OU343114.1,OY284468.1,33715185,33717718,36380457,36382184,-,+,True
165708at7147,OU343115.1,OY284469.1,15396630,15438752,21716956,21747303,+,-,True
165751at7147,OU343115.1,OY284469.1,2532399,2541739,19529519,19535288,+,-,True
165755at7147,OU343116.1,OY284470.1,40237762,40238970,23763909,23765187,+,-,True
165770at7147,OU343115.1,OY284469.1,34571005,34573039,24404188,24407274,-,+,True
165800at7147,OU343114.1,OY284468.1,49956375,49958517,47952664,47954594,-,+,True
165803at7147,OU343114.1,OY284468.1,49959852,49961380,47949862,47951011,+,-,True
165814at7147,OU343117.1,OY284471.1,25159135,25165281,42127365,42132690,-,+,True
165857at7147,OU343115.1,OY284469.1,55167614,55170139,17332443,17334954,-,+,True
165864at7147,OU343115.1,OY284469.1,17566072,17567202,55482672,55483814,+,-,True
165935at7147,OU343116.1,OY284470.1,6646879,6652915,25007864,25013032,-,-,False
165944at7147,OU343117.1,OY284471.1,27707852,27711571,46207633,46208877,+,-,True
165956at7147,OU343115.1,OY284469.1,3367870,3374804,22300788,22305835,+,+,False
166120at7147,OU343117.1,OY284471.1,29984882,29986049,36168793,36170125,+,-,True
166172at7147,OU343118.1,OY284472.1,40953935,40967085,35690156,35693555,+,-,True
166186at7147,OU343118.1,OY284472.1,43141161,43145587,15959169,15961916,-,-,False
166242at7147,OU343117.1,OY284471.1,37654697,37657393,31958302,31962581,+,-,True
166329at7147,OU343118.1,OY284472.1,34921064,34934979,22247430,22254164,-,-,False
166427at7147,OU343117.1,OY284471.1,26937525,26946133,43696226,43706620,-,-,False
166453at7147,OU343114.1,OY284468.1,9129383,9135501,62577733,62583961,-,-,False
166470at7147,OU343114.1,OY284468.1,36139420,36148237,40945598,40951033,-,+,True
166517at7147,OU343117.1,OY284471.1,48171622,48178241,36853291,36860220,+,-,True
166570at7147,OU343115.1,OY284469.1,59345735,59347543,31857246,31858316,-,+,True
166641at7147,OU343117.1,OY284471.1,28049042,28056743,46664660,46670458,+,-,True
166642at7147,OU343118.1,OY284472.1,22629568,22644251,8771135,8786681,-,+,True
166675at7147,OU343114.1,OY284468.1,13010406,13012223,41905659,41907701,-,-,False
166680at7147,OU343114.1,OY284468.1,36216943,36227443,40986974,41004718,+,+,False
166740at7147,OU343116.1,OY284470.1,53253088,53254321,21592383,21593718,-,-,False
166761at7147,OU343115.1,OY284469.1,18337255,18338607,11790432,11791775,+,+,False
166809at7147,OU343114.1,OY284468.1,24849606,24893110,41145452,41183205,-,-,False
166851at7147,OU343119.1,OY284473.1,15097881,15109006,25506100,25516528,-,+,True
16687at7147,OU343116.1,OY284470.1,6769933,6774496,23364355,23367650,-,-,False
166881at7147,OU343118.1,OY284472.1,41995056,42028487,29305764,29334837,+,+,False
166882at7147,OU343117.1,OY284471.1,10335874,10348004,37012315,37020657,-,+,True
166887at7147,OU343115.1,OY284469.1,62172617,62173049,58766246,58766623,-,+,True
166906at7147,OU343116.1,OY284470.1,8782256,8785438,41299146,41302710,+,-,True
166924at7147,OU343117.1,OY284469.1,1628595,1633475,59487564,59492991,-,-,False
166933at7147,OU343114.1,OY284468.1,15725402,15727824,31773119,31775273,-,-,False
167029at7147,OU343117.1,OY284471.1,34994012,34995243,42855052,42856414,+,-,True
167066at7147,OU343115.1,OY284468.1,8854911,8856161,32845911,32847146,-,-,False
167068at7147,OU343117.1,OY284468.1,36427375,36430334,37989625,37992692,+,+,False
167199at7147,OU343115.1,OY284469.1,67937470,67972371,425955,431696,+,+,False
167257at7147,OU343115.1,OY284469.1,41293172,41294428,22861478,22862773,-,+,True
167292at7147,OU343116.1,OY284470.1,6826521,6827105,23396339,23397022,+,+,False
167369at7147,OU343114.1,OY284468.1,31697791,31706056,43281731,43284850,-,+,True
167430at7147,OU343114.1,OY284468.1,47949087,47950340,34409619,34410435,-,-,False
